µçÑ¹,µçÁ÷
-124.092,-0.034
-138.575,-0.034
-152.079,-0.034
-166.392,-0.034
-180.61,-0.034
-193.216,-0.034
-206.26,-0.034
-218.653,-0.035
-228.302,-0.034
-235.652,-0.034
-243.495,-0.035
-253.37,-0.035
-262.168,-0.036
-269.53,-0.136
-276.526,-0.919
-282.868,-2.2
-288.514,-2.788
-293.35,-2.822
-298.052,-2.815
-303.135,-2.918
-308.613,-3.062
-313.999,-3.075
-318.754,-2.887
-322.635,-2.569
-325.522,-2.161
-327.457,-1.744
-328.986,-1.478
-330.379,-1.332
-331.545,-1.2
-332.324,-1.024
-332.561,-0.797
-331.981,-0.502
-328.703,-0.153
-318.946,0.008
-303.146,0.023
-287.401,0.023
-276.539,0.023
-267.979,0.023
-258.648,0.023
-249.144,0.023
-239.108,0.024
-227.57,0.024
-214.765,0.024
-201.526,0.024
-188.514,0.024
-175.287,0.024
-161.217,0.024
-147.362,0.024
-132.85,0.025
-117.667,0.025
-102.295,0.025
-85.904,0.025
-68.256,0.025
-51.19,0.026
-36.358,0.026
-21.325,0.026
-5.304,0.026
11.695,0.026
29.397,0.026
46.509,0.026
63.837,0.026
80.307,0.027
95.751,0.027
110.874,0.027
125.331,0.027
139.026,0.027
151.529,0.027
165.324,0.027
179.417,0.028
192.195,0.028
205.434,0.028
217.926,0.028
227.692,0.028
234.987,0.028
242.55,0.028
252.433,0.028
261.626,0.029
269.222,0.125
276.361,0.904
282.913,2.227
288.89,2.887
294.088,2.954
298.779,2.843
303.098,2.708
307.942,2.812
313.339,2.986
318.403,2.934
322.53,2.648
325.482,2.202
327.38,1.745
328.86,1.465
330.229,1.315
331.374,1.181
332.123,1.005
332.341,0.779
331.758,0.484
328.679,0.145
319.384,-0.014
303.918,-0.029
288.016,-0.029
276.863,-0.029
268.21,-0.029
258.763,-0.029
249.061,-0.029
238.868,-0.029
227.374,-0.03
214.786,-0.03
201.733,-0.03
188.994,-0.03
175.976,-0.03
161.916,-0.03
148.087,-0.031
133.63,-0.031
118.519,-0.031
103.359,-0.031
87.189,-0.031
69.495,-0.031
51.962,-0.032
36.53,-0.032
21.229,-0.032
5.092,-0.032
-11.935,-0.032
-29.68,-0.032
-46.733,-0.032
-63.925,-0.033
-80.163,-0.033
-94.777,-0.033
-108.9,-0.033
-123.099,-0.033
-137.531,-0.034
-151.131,-0.034
-165.273,-0.034
-179.356,-0.034
-192.102,-0.034
-205.413,-0.034
-218.133,-0.034
-228.049,-0.034
-235.385,-0.034
-242.984,-0.034
-252.698,-0.035
-261.609,-0.035
-269.008,-0.115
-275.999,-0.832
-282.355,-2.12
-288.049,-2.766
-292.919,-2.818
-297.616,-2.812
-302.693,-2.918
-308.205,-3.073
-313.665,-3.096
-318.471,-2.908
-322.384,-2.589
-325.308,-2.181
-327.276,-1.762
-328.817,-1.492
-330.233,-1.346
-331.44,-1.216
-332.261,-1.042
-332.533,-0.814
-332.027,-0.522
